Date,Product,Region,Sales,Profit,Quantity,Category
2025-01-01,Smartphone X,North,1200,240,3,Electronics
2025-01-01,Laptop Pro,East,2500,500,2,Electronics
2025-01-02,Office Chair,South,300,60,5,Furniture
2025-01-02,Desk Lamp,West,150,30,10,Furniture
2025-01-03,Coffee Maker,North,220,55,4,Home Appliances
2025-01-03,Blender 500,East,180,36,3,Home Appliances
2025-01-04,Running Shoes,South,400,80,8,Sporting Goods
2025-01-04,Yoga Mat,West,160,32,6,Sporting Goods
2025-01-05,Smartwatch Z,North,900,180,3,Electronics
2025-01-05,Wireless Earbuds,East,600,120,5,Electronics
2025-01-06,Bookshelf,South,450,90,2,Furniture
2025-01-06,Table Lamp,West,130,26,7,Furniture
2025-01-07,Air Fryer,North,260,52,2,Home Appliances
2025-01-07,Vacuum Clean Pro,East,400,80,1,Home Appliances
2025-01-08,Treadmill S,South,3000,600,1,Sporting Goods
2025-01-08,Dumbbell Set,West,350,70,4,Sporting Goods
2025-01-09,Gaming Laptop,North,3200,640,1,Electronics
2025-01-09,Tablet Plus,East,800,160,2,Electronics
2025-01-10,Office Desk,South,700,140,1,Furniture
2025-01-10,Floor Lamp,West,200,40,3,Furniture
